scenario,seed,jobs,candidate_count,first_capacity,second_capacity,probe_available,probe_cost,revise,delay,cost_budget,call_limit,recovery_available,recovery_cost,fixture_sha256,policy,success,failure,cost_units,calls,probe_attempted,compactions,peak_retained_records,peak_retained_serialized_bytes
child_too_small,2,6,2,2,1,True,1,False,3,100,128,False,1,3dd2fd5b1169fb42dac227c1a7a3e86aa8534de61fa600546234691356e399b8,structured_budgeted,False,missing_receipt,11,11,True,2,2,145
child_too_small,2,6,2,2,1,True,1,True,3,100,128,False,1,34165a6dd499921ac97b305f5fb8d106ee0f2eb8bd6de8f45b64f8187bc70a64,recent_never,True,,10,10,False,2,2,145
child_too_small,2,6,2,2,1,True,1,True,3,100,128,False,1,34165a6dd499921ac97b305f5fb8d106ee0f2eb8bd6de8f45b64f8187bc70a64,structured_never,True,,10,10,False,2,2,145
child_too_small,2,6,2,2,1,True,1,True,3,100,128,False,1,34165a6dd499921ac97b305f5fb8d106ee0f2eb8bd6de8f45b64f8187bc70a64,structured_always,True,,11,11,True,2,2,145
child_too_small,2,6,2,2,1,True,1,True,3,100,128,False,1,34165a6dd499921ac97b305f5fb8d106ee0f2eb8bd6de8f45b64f8187bc70a64,structured_budgeted,True,,11,11,True,2,2,145
child_too_small,3,6,2,2,1,True,1,False,3,100,128,False,1,cbc962c904dc9878e9ad1bfb3a6fbe537821bac1d46a3fed7a5267106cfd7995,recent_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,3,6,2,2,1,True,1,False,3,100,128,False,1,cbc962c904dc9878e9ad1bfb3a6fbe537821bac1d46a3fed7a5267106cfd7995,structured_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,3,6,2,2,1,True,1,False,3,100,128,False,1,cbc962c904dc9878e9ad1bfb3a6fbe537821bac1d46a3fed7a5267106cfd7995,structured_always,False,missing_receipt,11,11,True,2,2,145
child_too_small,3,6,2,2,1,True,1,False,3,100,128,False,1,cbc962c904dc9878e9ad1bfb3a6fbe537821bac1d46a3fed7a5267106cfd7995,structured_budgeted,False,missing_receipt,11,11,True,2,2,145
child_too_small,3,6,2,2,1,True,1,True,3,100,128,False,1,ac4663e4e4f0e765ff6fc6fd668109c9bcc4ada60cf5d125f34276e99e02c5ab,recent_never,True,,10,10,False,2,2,145
child_too_small,3,6,2,2,1,True,1,True,3,100,128,False,1,ac4663e4e4f0e765ff6fc6fd668109c9bcc4ada60cf5d125f34276e99e02c5ab,structured_never,True,,10,10,False,2,2,145
child_too_small,3,6,2,2,1,True,1,True,3,100,128,False,1,ac4663e4e4f0e765ff6fc6fd668109c9bcc4ada60cf5d125f34276e99e02c5ab,structured_always,True,,11,11,True,2,2,145
child_too_small,3,6,2,2,1,True,1,True,3,100,128,False,1,ac4663e4e4f0e765ff6fc6fd668109c9bcc4ada60cf5d125f34276e99e02c5ab,structured_budgeted,True,,11,11,True,2,2,145
child_too_small,4,6,2,2,1,True,1,False,3,100,128,False,1,d064bee639b4fe359c0c847cb0d3ca7cb6619923f36d602c33272e6e0a01cd73,recent_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,4,6,2,2,1,True,1,False,3,100,128,False,1,d064bee639b4fe359c0c847cb0d3ca7cb6619923f36d602c33272e6e0a01cd73,structured_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,4,6,2,2,1,True,1,False,3,100,128,False,1,d064bee639b4fe359c0c847cb0d3ca7cb6619923f36d602c33272e6e0a01cd73,structured_always,False,missing_receipt,11,11,True,2,2,145
child_too_small,4,6,2,2,1,True,1,False,3,100,128,False,1,d064bee639b4fe359c0c847cb0d3ca7cb6619923f36d602c33272e6e0a01cd73,structured_budgeted,False,missing_receipt,11,11,True,2,2,145
child_too_small,4,6,2,2,1,True,1,True,3,100,128,False,1,c41c548f073a9c577d078ca8052f19b7a48cf5842f0beb81c572949d9b08eede,recent_never,True,,10,10,False,2,2,145
child_too_small,4,6,2,2,1,True,1,True,3,100,128,False,1,c41c548f073a9c577d078ca8052f19b7a48cf5842f0beb81c572949d9b08eede,structured_never,True,,10,10,False,2,2,145
child_too_small,4,6,2,2,1,True,1,True,3,100,128,False,1,c41c548f073a9c577d078ca8052f19b7a48cf5842f0beb81c572949d9b08eede,structured_always,True,,11,11,True,2,2,145
child_too_small,4,6,2,2,1,True,1,True,3,100,128,False,1,c41c548f073a9c577d078ca8052f19b7a48cf5842f0beb81c572949d9b08eede,structured_budgeted,True,,11,11,True,2,2,145
child_too_small,5,6,2,2,1,True,1,False,3,100,128,False,1,44e744c586ce9b335603fd1f07b19beff2c559edc69c63cb8264725250dea6ba,recent_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,5,6,2,2,1,True,1,False,3,100,128,False,1,44e744c586ce9b335603fd1f07b19beff2c559edc69c63cb8264725250dea6ba,structured_never,True,,10,10,False,2,2,145
child_too_small,5,6,2,2,1,True,1,False,3,100,128,False,1,44e744c586ce9b335603fd1f07b19beff2c559edc69c63cb8264725250dea6ba,structured_always,True,,11,11,True,2,2,145
child_too_small,5,6,2,2,1,True,1,False,3,100,128,False,1,44e744c586ce9b335603fd1f07b19beff2c559edc69c63cb8264725250dea6ba,structured_budgeted,True,,11,11,True,2,2,145
child_too_small,5,6,2,2,1,True,1,True,3,100,128,False,1,04ee5f1ab58c329bb13819d379da5c08e9da861f9e63cebe467bd435e088a22b,recent_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,5,6,2,2,1,True,1,True,3,100,128,False,1,04ee5f1ab58c329bb13819d379da5c08e9da861f9e63cebe467bd435e088a22b,structured_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,5,6,2,2,1,True,1,True,3,100,128,False,1,04ee5f1ab58c329bb13819d379da5c08e9da861f9e63cebe467bd435e088a22b,structured_always,False,missing_receipt,11,11,True,2,2,145
child_too_small,5,6,2,2,1,True,1,True,3,100,128,False,1,04ee5f1ab58c329bb13819d379da5c08e9da861f9e63cebe467bd435e088a22b,structured_budgeted,False,missing_receipt,11,11,True,2,2,145
child_too_small,6,6,2,2,1,True,1,False,3,100,128,False,1,a92576ec2019383c120a366f44ed457715650a6a8aa7b057e702de2c130d3eb7,recent_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,6,6,2,2,1,True,1,False,3,100,128,False,1,a92576ec2019383c120a366f44ed457715650a6a8aa7b057e702de2c130d3eb7,structured_never,True,,10,10,False,2,2,145
child_too_small,6,6,2,2,1,True,1,False,3,100,128,False,1,a92576ec2019383c120a366f44ed457715650a6a8aa7b057e702de2c130d3eb7,structured_always,True,,11,11,True,2,2,145
child_too_small,6,6,2,2,1,True,1,False,3,100,128,False,1,a92576ec2019383c120a366f44ed457715650a6a8aa7b057e702de2c130d3eb7,structured_budgeted,True,,11,11,True,2,2,145
child_too_small,6,6,2,2,1,True,1,True,3,100,128,False,1,4d033afbcd4e4659a55ade40a863a117778c78903e715caa665afe5ee9c23e62,recent_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,6,6,2,2,1,True,1,True,3,100,128,False,1,4d033afbcd4e4659a55ade40a863a117778c78903e715caa665afe5ee9c23e62,structured_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,6,6,2,2,1,True,1,True,3,100,128,False,1,4d033afbcd4e4659a55ade40a863a117778c78903e715caa665afe5ee9c23e62,structured_always,False,missing_receipt,11,11,True,2,2,145
child_too_small,6,6,2,2,1,True,1,True,3,100,128,False,1,4d033afbcd4e4659a55ade40a863a117778c78903e715caa665afe5ee9c23e62,structured_budgeted,False,missing_receipt,11,11,True,2,2,145
child_too_small,7,6,2,2,1,True,1,False,3,100,128,False,1,69ca6ca411b16656c2f3f3afec84a3880f8d4ef8079ec58d568cea837f9740f9,recent_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,7,6,2,2,1,True,1,False,3,100,128,False,1,69ca6ca411b16656c2f3f3afec84a3880f8d4ef8079ec58d568cea837f9740f9,structured_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,7,6,2,2,1,True,1,False,3,100,128,False,1,69ca6ca411b16656c2f3f3afec84a3880f8d4ef8079ec58d568cea837f9740f9,structured_always,True,,11,11,True,2,2,145
child_too_small,7,6,2,2,1,True,1,False,3,100,128,False,1,69ca6ca411b16656c2f3f3afec84a3880f8d4ef8079ec58d568cea837f9740f9,structured_budgeted,True,,11,11,True,2,2,145
child_too_small,7,6,2,2,1,True,1,True,3,100,128,False,1,c0d810c14fe65dd08c7d2f136215c1a8b7fde62263f49b6a436e4c5b8b5b3971,recent_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,7,6,2,2,1,True,1,True,3,100,128,False,1,c0d810c14fe65dd08c7d2f136215c1a8b7fde62263f49b6a436e4c5b8b5b3971,structured_never,False,missing_receipt,10,10,False,2,2,145
child_too_small,7,6,2,2,1,True,1,True,3,100,128,False,1,c0d810c14fe65dd08c7d2f136215c1a8b7fde62263f49b6a436e4c5b8b5b3971,structured_always,False,missing_receipt,11,11,True,2,2,145
child_too_small,7,6,2,2,1,True,1,True,3,100,128,False,1,c0d810c14fe65dd08c7d2f136215c1a8b7fde62263f49b6a436e4c5b8b5b3971,structured_budgeted,False,missing_receipt,11,11,True,2,2,145
